organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date,cloning_error
kde, krita,https://github.com/KDE/krita.git,3900,58253,339, C++,89.6, false,1998-12-29,2022-05-20,FALSE
kde, kdenlive,https://github.com/KDE/kdenlive.git,1500,16087,102, C++,92.4, false,2007-12-31,2022-05-20,FALSE
kde, plasma-desktop,https://github.com/KDE/plasma-desktop.git,503,9276,211, C++,52.5, false,2009-12-30,2022-05-20,FALSE
kde, okular,https://github.com/KDE/okular.git,393,9726,235, C++,85.8, false,1997-12-12,2022-05-17,FALSE
kde, kdevelop,https://github.com/KDE/kdevelop.git,348,42720,246, C++,92.2, false,1999-12-22,2022-05-19,FALSE
kde, kwin,https://github.com/KDE/kwin.git,335,22506,322, C++,94.2, false,1999-12-30,2022-05-20,FALSE
kde, kate,https://github.com/KDE/kate.git,329,19045,267, C++,88.3, false,2001-12-04,2022-05-18,FALSE
kde, konsole,https://github.com/KDE/konsole.git,299,8362,203, C++,96.7, false,1998-12-30,2022-05-18,FALSE
kde, dolphin,https://github.com/KDE/dolphin.git,288,6963,259, C++,98.3, false,2006-12-29,2022-05-20,FALSE
kde, kdiff3,https://github.com/KDE/kdiff3.git,256,1999,32, C++,97.6, false,2002-08-18,2022-05-05,FALSE
kde, yakuake,https://github.com/KDE/yakuake.git,247,790,60, C++,96.2, false,2008-12-29,2022-05-09,FALSE
kde, kcachegrind,https://github.com/KDE/kcachegrind.git,246,1179,53, C++,96.2, false,2003-12-21,2022-05-15,FALSE
kde, massif-visualizer,https://github.com/KDE/massif-visualizer.git,208,642,20, C++,97.8, false,2010-12-26,2022-05-17,FALSE
kde, kstars,https://github.com/KDE/kstars.git,161,13102,160, C++,87.7, false,2002-12-30,2022-05-20,FALSE
kde, amarok,https://github.com/KDE/amarok.git,134,35225,247, C++,93.4, false,2003-12-31,2022-05-15,FALSE
kde, snorenotify,https://github.com/KDE/snorenotify.git,126,1116,13, C++,89.1, false,2010-12-31,2022-05-18,FALSE
kde, calligra,https://github.com/KDE/calligra.git,125,101655,263, C++,86.7, false,1998-12-30,2022-05-20,FALSE
kde, plasma-framework,https://github.com/KDE/plasma-framework.git,111,16304,275, C++,63.9, false,2005-12-30,2022-05-18,FALSE
kde, marble,https://github.com/KDE/marble.git,100,13435,180, C++,93.6, false,2006-12-25,2022-05-19,FALSE
kde, labplot,https://github.com/KDE/labplot.git,98,9701,32, C++,92.3, false,2008-12-27,2022-05-20,FALSE
kde, krusader,https://github.com/KDE/krusader.git,96,6400,43, C++,96.6, false,2002-12-28,2022-05-16,FALSE
kde, k3b,https://github.com/KDE/k3b.git,87,6778,97, C++,97.6, false,2001-12-18,2022-05-17,FALSE
kde, kmymoney,https://github.com/KDE/kmymoney.git,86,7813,68, C++,96.2, false,2009-12-27,2022-05-17,FALSE
kde, umbrello,https://github.com/KDE/umbrello.git,77,8464,88, C++,51.2, false,2003-12-30,2022-05-16,FALSE
kde, filelight,https://github.com/KDE/filelight.git,73,1111,61, C++,84, false,2003-11-04,2022-05-18,FALSE
kde, gwenview,https://github.com/KDE/gwenview.git,69,6849,145, C++,80.5, false,2002-12-28,2022-05-15,FALSE
kde, kdeplasma-addons,https://github.com/KDE/kdeplasma-addons.git,68,8824,220, C++,51.5, false,2007-12-31,2022-05-20,FALSE
kde, qca,https://github.com/KDE/qca.git,64,2460,59, C++,96.8, false,2003-12-21,2022-05-08,FALSE
kde, discover,https://github.com/KDE/discover.git,63,8675,87, C++,81.1, false,2010-12-31,2022-05-19,FALSE
kde, okteta,https://github.com/KDE/okteta.git,58,4385,49, C++,97.3, false,2003-12-16,2022-05-17,FALSE
kde, kmail,https://github.com/KDE/kmail.git,54,26376,168, C++,95.5, false,1997-12-26,2022-05-19,FALSE
kde, kleopatra,https://github.com/KDE/kleopatra.git,52,6490,77, C++,97.5, false,2002-11-29,2022-05-20,FALSE
kde, ark,https://github.com/KDE/ark.git,52,4739,113, C++,86.6, false,1997-12-31,2022-05-20,FALSE
kde, ktorrent,https://github.com/KDE/ktorrent.git,52,2845,77, C++,97.3, false,2007-12-30,2022-05-15,FALSE
kde, kio,https://github.com/KDE/kio.git,51,5472,244, C++,97.5, false,2004-12-29,2022-05-20,FALSE
kde, kolourpaint,https://github.com/KDE/kolourpaint.git,50,2403,69, C++,98.6, false,2003-12-31,2022-05-15,FALSE
kde, partitionmanager,https://github.com/KDE/partitionmanager.git,49,1616,32, C++,98.2, false,2008-12-28,2022-05-15,FALSE
kde, konqueror,https://github.com/KDE/konqueror.git,47,15106,209, C++,94.6, false,1997-12-20,2022-05-15,FALSE
kde, ktouch,https://github.com/KDE/ktouch.git,46,2178,60, C++,65.8, false,2001-12-26,2022-05-19,FALSE
kde, qtcurve,https://github.com/KDE/qtcurve.git,37,4269,14, C++,95.7, false,2007-12-31,2021-10-22,FALSE
kde, kid3,https://github.com/KDE/kid3.git,36,2508,20, C++,84.7, false,2003-10-21,2022-05-10,FALSE
kde, kbibtex,https://github.com/KDE/kbibtex.git,35,3462,22, C++,93.7, false,2008-10-29,2022-05-18,FALSE
kde, konversation,https://github.com/KDE/konversation.git,35,9107,97, C++,97, false,2002-12-25,2022-05-07,FALSE
kde, krdc,https://github.com/KDE/krdc.git,33,1590,82, C++,94.9, false,2002-12-31,2022-05-07,FALSE
kde, kaffeine,https://github.com/KDE/kaffeine.git,31,1811,26, C++,95, false,2007-12-31,2022-05-15,FALSE
kde, dolphin-plugins,https://github.com/KDE/dolphin-plugins.git,30,654,33, C++,98.6, false,2009-12-31,2022-05-15,FALSE
kde, choqok,https://github.com/KDE/choqok.git,29,2253,47, C++,95.7, false,2008-12-31,2022-05-15,FALSE
kde, rsibreak,https://github.com/KDE/rsibreak.git,28,1011,32, C++,97.6, false,2005-12-26,2022-05-20,FALSE
kde, akregator,https://github.com/KDE/akregator.git,28,6409,107, C++,96.2, false,2004-12-30,2022-05-16,FALSE
kde, systemsettings,https://github.com/KDE/systemsettings.git,27,2659,103, C++,84.8, false,2005-12-17,2022-05-19,FALSE
kde, korganizer,https://github.com/KDE/korganizer.git,26,11696,115, C++,95.8, false,1998-12-21,2022-05-16,FALSE
kde, step,https://github.com/KDE/step.git,26,1185,47, C++,94.9, false,2007-12-14,2022-05-15,FALSE
kde, kinfocenter,https://github.com/KDE/kinfocenter.git,24,2084,92, C++,65.4, false,2007-12-25,2022-05-20,FALSE
kde, tellico,https://github.com/KDE/tellico.git,24,3922,24, C++,81.9, false,2001-11-05,2022-05-16,FALSE
kde, kdesvn,https://github.com/KDE/kdesvn.git,24,2349,21, C++,95.4, false,2005-11-30,2022-05-15,FALSE
kde, kexi,https://github.com/KDE/kexi.git,24,13296,157, C++,93.7, false,1998-09-30,2022-05-15,FALSE
kde, kompare,https://github.com/KDE/kompare.git,24,1135,58, C++,97, false,2001-12-12,2022-05-07,FALSE
kde, kmines,https://github.com/KDE/kmines.git,24,1764,57, C++,93.6, false,1997-11-15,2022-05-07,FALSE
kde, kxstitch,https://github.com/KDE/kxstitch.git,24,754,7, C++,98.9, false,2010-12-31,2022-05-01,FALSE
kde, bluedevil,https://github.com/KDE/bluedevil.git,23,2395,63, C++,75.7, false,2010-12-30,2022-05-19,FALSE
kde, kontact,https://github.com/KDE/kontact.git,23,5514,93, C++,92.7, false,2002-12-31,2022-05-16,FALSE
kde, kamoso,https://github.com/KDE/kamoso.git,22,1459,32, C++,82.4, false,2008-12-15,2022-05-15,FALSE
kde, trojita,https://github.com/KDE/trojita.git,22,6733,70, C++,96.6, false,2006-10-13,2022-05-15,FALSE
kde, kcalc,https://github.com/KDE/kcalc.git,22,1610,91, C++,98.3, false,1997-12-31,2022-05-07,FALSE
kde, kdialog,https://github.com/KDE/kdialog.git,21,1214,101, C++,95.6, false,1997-12-20,2022-05-10,FALSE
kde, kwidgetsaddons,https://github.com/KDE/kwidgetsaddons.git,21,939,85, C++,95.8, false,1999-04-30,2022-05-14,FALSE
kde, kio-extras,https://github.com/KDE/kio-extras.git,21,7240,207, C++,76.8, false,1997-12-20,2022-05-18,FALSE
kde, kget,https://github.com/KDE/kget.git,21,3192,84, C++,96.7, false,2002-12-26,2022-05-14,FALSE
kde, lokalize,https://github.com/KDE/lokalize.git,21,1819,52, C++,95.3, false,2000-07-31,2022-05-15,FALSE
kde, kgpg,https://github.com/KDE/kgpg.git,21,3186,72, C++,96.7, false,2002-12-24,2022-05-07,FALSE
kde, akonadi,https://github.com/KDE/akonadi.git,20,12746,124, C++,96, false,2006-12-27,2022-05-19,FALSE
kde, powerdevil,https://github.com/KDE/powerdevil.git,20,2541,107, C++,94.6, false,2008-12-29,2022-05-19,FALSE
kde, kopete,https://github.com/KDE/kopete.git,20,16426,179, C++,94.9, false,2002-12-31,2022-05-18,FALSE
kde, kgraphviewer,https://github.com/KDE/kgraphviewer.git,19,775,34, C++,97.3, false,2007-12-29,2022-05-08,FALSE
kde, kalgebra,https://github.com/KDE/kalgebra.git,19,2061,46, C++,70.1, false,2007-12-30,2022-05-07,FALSE
kde, amor,https://github.com/KDE/amor.git,19,687,31, C++,82.3, false,1999-11-30,2022-03-23,FALSE
kde, kde-cli-tools,https://github.com/KDE/kde-cli-tools.git,18,1935,124, C++,94.5, false,1997-12-20,2022-05-19,FALSE
kde, knotes,https://github.com/KDE/knotes.git,18,3653,87, C++,93.2, false,1997-12-28,2022-05-16,FALSE
kde, rocs,https://github.com/KDE/rocs.git,18,3075,50, C++,92.4, false,2008-12-20,2022-05-15,FALSE
kde, kalzium,https://github.com/KDE/kalzium.git,17,4354,91, C++,91.4, false,2002-12-30,2022-05-20,FALSE
kde, kde-gtk-config,https://github.com/KDE/kde-gtk-config.git,17,932,45, C++,81.7, false,2010-12-30,2022-05-19,FALSE
kde, knights,https://github.com/KDE/knights.git,17,1132,28, C++,97.6, false,2010-12-31,2022-05-19,FALSE
kde, krfb,https://github.com/KDE/krfb.git,17,1490,71, C++,90.5, false,2001-12-22,2022-05-15,FALSE
kde, kmplayer,https://github.com/KDE/kmplayer.git,17,2649,37, C++,90.9, false,2003-12-30,2022-05-15,FALSE
kde, prison,https://github.com/KDE/prison.git,16,377,23, C++,89, false,2010-08-04,2022-05-18,FALSE
kde, kipi-plugins,https://github.com/KDE/kipi-plugins.git,16,12089,92, C++,90.7, false,2004-12-28,2022-05-18,FALSE
kde, kwallet,https://github.com/KDE/kwallet.git,16,1145,75, C++,89.7, false,2007-12-26,2022-05-14,FALSE
kde, juk,https://github.com/KDE/juk.git,16,3142,93, C++,98.6, false,2002-12-29,2022-05-07,FALSE
kde, kholidays,https://github.com/KDE/kholidays.git,15,1034,68, C++,97.3, false,2004-12-30,2022-05-19,FALSE
kde, kturtle,https://github.com/KDE/kturtle.git,15,1165,61, C++,80.7, false,2003-12-31,2022-05-20,FALSE
kde, smb4k,https://github.com/KDE/smb4k.git,14,2826,16, C++,95.4, false,2009-12-18,2022-05-19,FALSE
kde, knavalbattle,https://github.com/KDE/knavalbattle.git,14,1427,60, C++,98, false,2000-12-30,2022-05-07,FALSE
kde, libksysguard,https://github.com/KDE/libksysguard.git,13,2397,139, C++,85.8, false,1997-04-13,2022-05-19,FALSE
kde, kwave,https://github.com/KDE/kwave.git,13,3786,23, C++,93.5, false,1998-12-24,2022-05-19,FALSE
kde, kphotoalbum,https://github.com/KDE/kphotoalbum.git,13,6044,51, C++,87.3, false,2003-12-30,2022-05-15,FALSE
kde, zanshin,https://github.com/KDE/zanshin.git,13,2449,33, C++,98.6, false,2008-12-31,2022-05-07,FALSE
kde, kpat,https://github.com/KDE/kpat.git,13,2612,40, C++,98.5, false,1997-11-15,2022-05-07,FALSE
kde, krename,https://github.com/KDE/krename.git,13,625,12, C++,96.8, false,2007-10-12,2022-05-01,FALSE
kde, libqapt,https://github.com/KDE/libqapt.git,13,1555,15, C++,90.5, false,2010-12-28,2022-05-21,FALSE
kde, kolf,https://github.com/KDE/kolf.git,12,1496,54, C++,97.2, false,2002-12-30,2022-05-19,FALSE
kde, kalarm,https://github.com/KDE/kalarm.git,12,7912,98, C++,98.3, false,1999-04-11,2022-05-17,FALSE
kde, kmix,https://github.com/KDE/kmix.git,12,2449,97, C++,96.2, false,2000-12-09,2022-05-15,FALSE
kde, skanlite,https://github.com/KDE/skanlite.git,12,455,32, C++,88.2, false,2007-12-28,2022-05-15,FALSE
kde, kiten,https://github.com/KDE/kiten.git,12,1184,58, C++,86.7, false,2001-12-31,2022-05-07,FALSE
kde, kdepim-runtime,https://github.com/KDE/kdepim-runtime.git,11,15522,155, C++,95.6, false,2002-12-27,2022-05-18,FALSE
kde, kaddressbook,https://github.com/KDE/kaddressbook.git,11,6168,101, C++,89.4, false,2002-12-31,2022-05-16,FALSE
kde, kig,https://github.com/KDE/kig.git,11,3185,69, C++,95.8, false,2002-12-31,2022-05-15,FALSE
kde, attica,https://github.com/KDE/attica.git,11,865,55, C++,96.3, false,2008-09-21,2022-05-14,FALSE
kde, ksirk,https://github.com/KDE/ksirk.git,11,1021,42, C++,68.3, false,2007-12-21,2022-05-14,FALSE
kde, libktorrent,https://github.com/KDE/libktorrent.git,11,547,32, C++,97.7, false,2010-12-31,2022-03-12,FALSE
kde, ktuberling,https://github.com/KDE/ktuberling.git,11,1039,54, C++,87.3, false,1999-11-30,2022-05-07,FALSE
kde, katomic,https://github.com/KDE/katomic.git,11,957,52, C++,94.3, false,1999-12-19,2022-05-07,FALSE
kde, kwalletmanager,https://github.com/KDE/kwalletmanager.git,11,1269,65, C++,95.7, false,2003-12-29,2022-05-07,FALSE
kde, basket,https://github.com/KDE/basket.git,11,1524,41, C++,97.6, false,2006-12-31,2022-05-07,FALSE
kde, oxygen,https://github.com/KDE/oxygen.git,10,4468,72, C++,97.3, false,1997-04-13,2022-05-19,FALSE
kde, knetwalk,https://github.com/KDE/knetwalk.git,10,696,47, C++,74.2, false,2005-12-28,2022-05-19,FALSE
kde, print-manager,https://github.com/KDE/print-manager.git,10,1130,45, C++,95.6, false,2010-12-20,2022-05-15,FALSE
kde, kcolorchooser,https://github.com/KDE/kcolorchooser.git,10,266,23, C++,68, false,2007-12-30,2022-05-15,FALSE
kde, konquest,https://github.com/KDE/konquest.git,10,928,50, C++,97.2, false,1998-12-30,2022-05-15,FALSE
kde, parley,https://github.com/KDE/parley.git,10,4516,87, C++,95.6, false,2001-12-30,2022-05-15,FALSE
kde, ktechlab,https://github.com/KDE/ktechlab.git,10,1166,16, C++,98.5, false,2007-12-04,2022-05-15,FALSE
kde, kmahjongg,https://github.com/KDE/kmahjongg.git,10,1527,59, C++,97.9, false,1997-11-15,2022-05-13,FALSE
kde, ktp-text-ui,https://github.com/KDE/ktp-text-ui.git,10,2037,59, C++,77.5, false,2010-12-18,2022-04-22,FALSE
kde, kigo,https://github.com/KDE/kigo.git,10,563,30, C++,96, false,2008-12-27,2022-05-09,FALSE
kde, kmag,https://github.com/KDE/kmag.git,10,734,39, C++,97.3, false,2001-11-21,2022-05-07,FALSE
kde, kfind,https://github.com/KDE/kfind.git,10,2682,114, C++,96.5, false,1997-12-29,2022-05-07,FALSE
kde, phonon,https://github.com/KDE/phonon.git,10,3867,86, C++,96.3, false,2008-12-30,2022-04-06,FALSE
kde, oxygen-gtk,https://github.com/KDE/oxygen-gtk.git,10,3624,5, C++,98.8, false,2010-12-31,2021-07-04,FALSE
kde, rkward,https://github.com/KDE/rkward.git,9,6599,12, C++,71.4, false,2002-11-19,2022-05-20,FALSE
kde, khotkeys,https://github.com/KDE/khotkeys.git,9,2132,83, C++,97.5, false,2000-09-25,2022-05-20,FALSE
kde, kmplot,https://github.com/KDE/kmplot.git,9,1490,60, C++,98.8, false,2002-12-10,2022-05-17,FALSE
kde, kbackup,https://github.com/KDE/kbackup.git,9,434,14, C++,95.9, false,2006-12-21,2022-05-15,FALSE
kde, ksudoku,https://github.com/KDE/ksudoku.git,9,1107,55, C++,96.5, false,2007-12-31,2022-05-15,FALSE
kde, kdiamond,https://github.com/KDE/kdiamond.git,9,723,28, C++,93.6, false,2008-12-12,2022-05-15,FALSE
kde, ksystemlog,https://github.com/KDE/ksystemlog.git,9,723,33, C++,87.5, false,2008-12-31,2022-05-07,FALSE
kde, kteatime,https://github.com/KDE/kteatime.git,9,753,44, C++,94.5, false,1999-11-30,2022-05-07,FALSE
kde, kollision,https://github.com/KDE/kollision.git,9,532,30, C++,91.2, false,2007-11-26,2022-05-07,FALSE
